rank,Team,Pts,GF,GA,GD
0,Arsenal,76.78,68.27,31.45,36.82
1,Man City,72.88,68.47,37.14,31.32
2,Tottenham,72.86,69.13,37.72,31.42
3,Leicester,71.31,68.99,39.85,29.14
4,Southampton,63.77,59.57,42.51,17.05
5,Man United,63.31,49.68,33.98,15.7
6,West Ham,61.13,66.62,53.17,13.45
7,Liverpool,58.02,62.01,53.57,8.44
8,Chelsea,54.63,57.01,53.84,3.16
9,Everton,51.93,54.97,56.02,-1.05
10,Swansea,48.97,45.2,49.97,-4.77
11,West Brom,44.85,37.01,46.83,-9.82
12,Sunderland,44.39,47.62,60.34,-12.72
13,Crystal Palace,43.86,38.99,50.82,-11.83
14,Stoke,42.56,41.02,55.49,-14.47
15,Watford,41.82,36.31,50.82,-14.51
16,Newcastle,39.62,44.13,64.61,-20.48
17,Bournemouth,39.59,44.64,65.3,-20.66
18,Norwich,33.53,37.8,67.99,-30.19
19,Aston Villa,24.34,28.56,74.58,-46.03
